"filename", "language", "TypeScript", "JavaScript", "JSON with Comments", "Markdown", "Vue", "CSS", "HTML", "JSON", "XML", "comment", "blank", "total"
"d:\qianduan\musicProject\ACGMusic\music\src\views\Search.vue", "Vue", 0, 0, 0, 0, 303, 0, 0, 0, 0, 40, 19, 362
"d:\qianduan\musicProject\ACGMusic\music\src\views\concernList\concernList.vue", "Vue", 0, 0, 0, 0, 153, 0, 0, 0, 0, 4, 9, 166
"d:\qianduan\musicProject\ACGMusic\music\src\views\infoUser.vue", "Vue", 0, 0, 0, 0, 426, 0, 0, 0, 0, 19, 12, 457
"d:\qianduan\musicProject\ACGMusic\music\src\views\itemMusic.vue", "Vue", 0, 0, 0, 0, 42, 0, 0, 0, 0, 11, 7, 60
"d:\qianduan\musicProject\ACGMusic\music\src\views\list\list.vue", "Vue", 0, 0, 0, 0, 267, 0, 0, 0, 0, 15, 12, 294
"d:\qianduan\musicProject\ACGMusic\music\src\views\login\Login.vue", "Vue", 0, 0, 0, 0, 132, 0, 0, 0, 0, 1, 10, 143
"d:\qianduan\musicProject\ACGMusic\music\src\views\login\Login2.vue", "Vue", 0, 0, 0, 0, 157, 0, 0, 0, 0, 2, 13, 172
"d:\qianduan\musicProject\ACGMusic\music\src\views\login\loginByQrCode.vue", "Vue", 0, 0, 0, 0, 186, 0, 0, 0, 0, 25, 19, 230
"d:\qianduan\musicProject\ACGMusic\music\src\views\singer\singer.vue", "Vue", 0, 0, 0, 0, 370, 0, 0, 0, 0, 28, 27, 425
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\album.vue", "Vue", 0, 0, 0, 0, 229, 0, 0, 0, 0, 19, 13, 261
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\albumDetail.vue", "Vue", 0, 0, 0, 0, 530, 0, 0, 0, 0, 41, 28, 599
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\songs.vue", "Vue", 0, 0, 0, 0, 237, 0, 0, 0, 0, 34, 16, 287
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\userDetail.vue", "Vue", 0, 0, 0, 0, 746, 0, 0, 0, 0, 51, 33, 830
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\video.vue", "Vue", 0, 0, 0, 0, 184, 0, 0, 0, 0, 12, 11, 207
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\videoDetail.vue", "Vue", 0, 0, 0, 0, 243, 0, 0, 0, 0, 40, 13, 296
"d:\qianduan\musicProject\ACGMusic\music\vue.config.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"Total", "-", 30, 771, 9, 19, 8649, 268, 19, 22105, 102, 1064, 908, 33944
