"filename", "language", "JavaScript", "Vue", "JSON with Comments", "HTML", "JSON", "CSS", "TypeScript", "XML", "Markdown", "comment", "blank", "total"
"d:\qianduan\musicProject\ACGMusic\music\src\request\api\comment.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 18, 5, 77
"d:\qianduan\musicProject\ACGMusic\music\src\request\api\home.js", "JavaScript", 118, 0, 0, 0, 0, 0, 0, 0, 0, 24, 18, 160
"d:\qianduan\musicProject\ACGMusic\music\src\request\api\item.js", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 0, 0, 13, 7, 93
"d:\qianduan\musicProject\ACGMusic\music\src\request\api\list.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 18
"d:\qianduan\musicProject\ACGMusic\music\src\request\api\morePlayList.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 46
"d:\qianduan\musicProject\ACGMusic\music\src\request\api\singer.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 39
"d:\qianduan\musicProject\ACGMusic\music\src\request\api\userDetail.js", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 0, 0, 10, 12, 95
"d:\qianduan\musicProject\ACGMusic\music\src\request\api\video.js", "JavaScript", 97, 0, 0, 0, 0, 0, 0, 0, 0, 34, 13, 144
"d:\qianduan\musicProject\ACGMusic\music\src\request\index.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 12
"d:\qianduan\musicProject\ACGMusic\music\src\router\index.js", "JavaScript", 131, 0, 0, 0, 0, 0, 0, 0, 0, 8, 22, 161
"d:\qianduan\musicProject\ACGMusic\music\src\store\index.js", "JavaScript", 135, 0, 0, 0, 0, 0, 0, 0, 0, 29, 6, 170
"d:\qianduan\musicProject\ACGMusic\music\src\views\Comment\bottom.vue", "Vue", 0, 118, 0, 0, 0, 0, 0, 0, 0, 13, 6, 137
"d:\qianduan\musicProject\ACGMusic\music\src\views\Comment\comment.vue", "Vue", 0, 473, 0, 0, 0, 0, 0, 0, 0, 32, 20, 525
"d:\qianduan\musicProject\ACGMusic\music\src\views\HomeView.vue", "Vue", 0, 39, 0, 0, 0, 0, 0, 0, 0, 4, 5, 48
"d:\qianduan\musicProject\ACGMusic\music\src\views\Search.vue", "Vue", 0, 305, 0, 0, 0, 0, 0, 0, 0, 40, 20, 365
"d:\qianduan\musicProject\ACGMusic\music\src\views\concernList\concernList.vue", "Vue", 0, 166, 0, 0, 0, 0, 0, 0, 0, 6, 10, 182
"d:\qianduan\musicProject\ACGMusic\music\src\views\generalUserDetail\generalUserDetail.vue", "Vue", 0, 865, 0, 0, 0, 0, 0, 0, 0, 62, 41, 968
"d:\qianduan\musicProject\ACGMusic\music\src\views\generalUserDetail\userAllListenSongs.vue", "Vue", 0, 349, 0, 0, 0, 0, 0, 0, 0, 28, 18, 395
"d:\qianduan\musicProject\ACGMusic\music\src\views\infoUser.vue", "Vue", 0, 424, 0, 0, 0, 0, 0, 0, 0, 19, 12, 455
"d:\qianduan\musicProject\ACGMusic\music\src\views\itemMusic.vue", "Vue", 0, 42, 0, 0, 0, 0, 0, 0, 0, 11, 7, 60
