"filename", "language", "JavaScript", "Vue", "JSON", "comment", "blank", "total"
"d:\qianduan\musicProject\ACGMusic\music\package-lock.json", "JSON", 0, 0, 11, 0, 0, 11
"d:\qianduan\musicProject\ACGMusic\music\package.json", "JSON", 0, 0, 1, 0, 0, 1
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\Playlist.vue", "Vue", 0, -1, 0, 0, 0, -1
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\RecommendedDaily\RecommendedDaily.vue", "Vue", 0, 0, 0, 1, 0, 1
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\TopNav.vue", "Vue", 0, 2, 0, 0, -1, 1
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\iconList.vue", "Vue", 0, 2, 0, 1, 0, 3
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\morePlayList\morePlayList.vue", "Vue", 0, 0, 0, -2, -1, -3
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\perFm\perFm.vue", "Vue", 0, 1, 0, -1, 0, 0
"d:\qianduan\musicProject\ACGMusic\music\src\components\home\personalList.vue", "Vue", 0, 1, 0, 1, -1, 1
"d:\qianduan\musicProject\ACGMusic\music\src\components\item\FooterMusic.vue", "Vue", 0, 9, 0, 3, 0, 12
"d:\qianduan\musicProject\ACGMusic\music\src\components\item\MusicDetail.vue", "Vue", 0, 4, 0, 6, 1, 11
"d:\qianduan\musicProject\ACGMusic\music\src\components\item\itemMusicTop.vue", "Vue", 0, 14, 0, -2, 2, 14
"d:\qianduan\musicProject\ACGMusic\music\src\main-dev.js", "JavaScript", 2, 0, 0, 0, -1, 1
"d:\qianduan\musicProject\ACGMusic\music\src\main-prod.js", "JavaScript", 4, 0, 0, -2, 0, 2
"d:\qianduan\musicProject\ACGMusic\music\src\request\api\home.js", "JavaScript", 6, 0, 0, 1, 2, 9
"d:\qianduan\musicProject\ACGMusic\music\src\request\index.js", "JavaScript", 0, 0, 0, 3, 0, 3
"d:\qianduan\musicProject\ACGMusic\music\src\views\Comment\bottom.vue", "Vue", 0, 0, 0, -2, 0, -2
"d:\qianduan\musicProject\ACGMusic\music\src\views\Comment\comment.vue", "Vue", 0, 0, 0, -2, 0, -2
"d:\qianduan\musicProject\ACGMusic\music\src\views\concernList\concernList.vue", "Vue", 0, 4, 0, 0, -1, 3
"d:\qianduan\musicProject\ACGMusic\music\src\views\generalUserDetail\generalUserDetail.vue", "Vue", 0, 17, 0, -4, -1, 12
"d:\qianduan\musicProject\ACGMusic\music\src\views\infoUser.vue", "Vue", 0, 0, 0, 2, -1, 1
"d:\qianduan\musicProject\ACGMusic\music\src\views\list\list.vue", "Vue", 0, -4, 0, -1, 1, -4
"d:\qianduan\musicProject\ACGMusic\music\src\views\login\loginByQrCode.vue", "Vue", 0, 2, 0, 1, 1, 4
"d:\qianduan\musicProject\ACGMusic\music\src\views\singer\singer.vue", "Vue", 0, 7, 0, 2, 0, 9
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\album.vue", "Vue", 0, 0, 0, 0, 1, 1
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\albumDetail.vue", "Vue", 0, 0, 0, 0, -1, -1
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\userDetail.vue", "Vue", 0, 14, 0, 0, 1, 15
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\videoDetail.vue", "Vue", 0, 3, 0, -10, -1, -8
"d:\qianduan\musicProject\ACGMusic\music\vue.config.js", "JavaScript", 5, 0, 0, 2, -1, 6
"Total", "-", 17, 75, 12, -3, -1, 100
