"filename", "language", "JavaScript", "TypeScript", "Vue", "Markdown", "CSS", "HTML", "JSON", "XML", "JSON with Comments", "comment", "blank", "total"
"d:\qianduan\musicProject\ACGMusic\music\src\views\list\list.vue", "Vue", 0, 0, 267, 0, 0, 0, 0, 0, 0, 15, 12, 294
"d:\qianduan\musicProject\ACGMusic\music\src\views\login\Login.vue", "Vue", 0, 0, 132, 0, 0, 0, 0, 0, 0, 1, 10, 143
"d:\qianduan\musicProject\ACGMusic\music\src\views\login\Login2.vue", "Vue", 0, 0, 157, 0, 0, 0, 0, 0, 0, 2, 13, 172
"d:\qianduan\musicProject\ACGMusic\music\src\views\login\loginByQrCode.vue", "Vue", 0, 0, 159, 0, 0, 0, 0, 0, 0, 23, 18, 200
"d:\qianduan\musicProject\ACGMusic\music\src\views\singer\singer.vue", "Vue", 0, 0, 357, 0, 0, 0, 0, 0, 0, 28, 27, 412
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\album.vue", "Vue", 0, 0, 229, 0, 0, 0, 0, 0, 0, 19, 13, 261
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\albumDetail.vue", "Vue", 0, 0, 529, 0, 0, 0, 0, 0, 0, 41, 28, 598
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\songs.vue", "Vue", 0, 0, 236, 0, 0, 0, 0, 0, 0, 34, 15, 285
"d:\qianduan\musicProject\ACGMusic\music\src\views\userDetail\userDetail.vue", "Vue", 0, 0, 567, 0, 0, 0, 0, 0, 0, 41, 31, 639
"d:\qianduan\musicProject\ACGMusic\music\vue.config.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"Total", "-", 667, 30, 7064, 19, 268, 19, 21667, 102, 9, 838, 815, 31498
